preco;tamanho (m²);qtd_quartos;qtd_banheiros;qtd_vagas_garagem;bairro;endereco;bairro_tratada;bairro_mais_barato
1550000.0;87.0;3;2.0;3;Gutierrez;Rua Almirante Alexandrino;Gutierrez;0
560000.0;83.0;3;3.0;2;Ouro Preto;Rua Desembargador Paulo Mota;Ouro Preto;0
750000.0;160.0;3;2.0;2;Santa Mônica;Rua Olavo Bilac;Santa Mônica;0
490000.0;83.0;3;3.0;2;Paquetá;Rua Maria Cândida de Jesus;Paquetá;0
1397568.0;124.0;3;3.0;4;Santo Antônio;Rua Renato Falci;Santo Antônio;0
1750000.0;190.0;4;2.0;2;Lourdes;Rua Antônio Aleixo;Lourdes;0
410000.0;65.0;3;2.0;1;Santa Mônica;Rua Lauro Araújo Silva;Santa Mônica;0
625540.0;96.0;2;2.0;2;Alto Caiçaras;Rua Hélio Lazzarotti;Alto Caiçaras;0
750000.0;105.0;3;2.0;2;Buritis;Avenida Engenheiro Carlos Goulart;Buritis;0
499000.0;55.0;2;2.0;2;Buritis;Rua Pascoal Demartini Filho;Buritis;0
690415.0;70.0;3;2.0;2;Indaiá;Rua Boaventura;Indaiá;0
365000.0;58.0;2;2.0;1;Jardim Leblon;Rua Egito;Jardim Leblon;1
550000.0;140.0;3;3.0;2;São João Batista;Rua José Vieira Brandão;São João Batista;0
695000.0;95.0;3;2.0;1;Coração de Jesus;Praça Abílio Nunes de Figueiredo;Coração de Jesus;0
950000.0;100.0;3;2.0;2;Sion;Rua do Uruguai;Sion;0
1095000.0;116.0;4;2.0;2;Buritis;Rua Ernani Agricola;Buritis;0
1500000.0;128.0;4;1.0;2;Funcionários;Rua Ceará;Funcionários;0
1569204.0;77.0;2;2.0;1;Funcionários;Avenida do Contorno;Funcionários;0
650000.0;78.0;3;3.0;2;Liberdade;Rua Boaventura;Liberdade;0
419000.0;60.0;2;2.0;1;Castelo;Rua Castelo de Sintra;Castelo;0
420000.0;62.0;3;2.0;1;Monsenhor Messias;Rua Ramos de Azevedo;Outros;0
450000.0;69.0;3;1.0;1;Caiçaras;Rua Sargento Robson da Cruz;Caiçaras;0
1053000.0;62.0;2;2.0;2;Centro;Rua Santa Catarina;Centro;0
990000.0;120.0;3;2.0;3;Gutierrez;Rua Oscar Trompowsky;Gutierrez;0
700000.0;64.0;2;3.0;2;Santa Efigênia;Rua Juiz Costa Val;Santa Efigênia;0
510000.0;56.0;2;1.0;1;Dom Cabral;Avenida Edgar da Mata Machado;Outros;0
850000.0;78.0;3;2.0;2;Buritis;Avenida Deputado Cristóvam Chiaradia;Buritis;0
375000.0;117.0;3;3.0;1;São Lucas;Rua Cabrália;São Lucas;0
1100000.0;130.0;4;1.0;3;Buritis;Rua Ernani Agricola;Buritis;0
1295000.0;200.0;4;5.0;4;Liberdade;Rua Doutor Teles;Liberdade;0
900000.0;150.0;2;2.0;0;Carlos Prates;Avenida Dom Pedro II;Carlos Prates;0
494500.0;75.0;3;2.0;2;Salgado Filho;Rua Campina Verde;Salgado Filho;0
559900.0;53.0;2;2.0;1;Pampulha;Rua General Aranha;Pampulha;0
320000.0;60.0;3;1.0;1;Jardim Leblon;Rua Humberto de Campos;Jardim Leblon;1
1800000.0;160.0;4;3.0;2;Santo Agostinho;Rua Gonçalves Dias;Santo Agostinho;0
1100000.0;71.0;2;2.0;2;Sion;Rua La Plata;Sion;0
595000.0;80.0;3;2.0;2;Palmares;Rua Jorge Angel Livraga;Palmares;0
1300000.0;118.0;4;3.0;3;Buritis;Rua Tereza Mota Valadares;Buritis;0
612314.0;66.0;2;3.0;2;São Lucas;Rua Salutares;São Lucas;0
460000.0;65.0;3;2.0;1;Caiçaras;Rua Elenir de Souza Gouvêa;Caiçaras;0
420000.0;47.0;2;1.0;1;Palmeiras;Rua Senhora do Porto;Palmeiras;0
745000.0;80.0;3;2.0;2;União;Rua Silva Fortes;União;0
850000.0;65.0;2;3.0;2;Santo Antônio;Rua Professor Arduino Bolivar;Santo Antônio;0
639900.0;105.0;4;3.0;2;Palmares;Rua José Cleto;Palmares;0
1780000.0;148.0;4;4.0;3;Jaraguá;Rua Garumã;Jaraguá;0
550000.0;98.0;3;2.0;2;Santo Antônio;Rua Guilherme de Almeida;Santo Antônio;0
1750000.0;165.0;4;3.0;3;Lourdes;Rua Antônio Aleixo;Lourdes;0
560000.0;75.0;3;2.0;1;Sagrada Família;Rua Itajubá;Sagrada Família;0
395000.0;76.0;3;1.0;2;Santa Amélia;Rua Gomes Freire;Santa Amélia;0
900000.0;105.0;3;3.0;2;Buritis;Avenida Protásio de Oliveira Penna;Buritis;0
350000.0;72.0;3;1.0;1;Cachoeirinha;Rua Coqueiro;Cachoeirinha;0
903088.0;102.0;3;2.0;2;Liberdade;Rua Boaventura;Liberdade;0
750000.0;90.0;3;1.0;2;Colégio Batista;Rua Varginha;Colégio Batista;0
705685.0;63.0;2;2.0;2;São Lucas;Rua Visconde de Taunay;São Lucas;0
399000.0;54.0;2;1.0;1;Castelo;Rua Castelo de Lisboa;Castelo;0
1631000.0;87.0;3;3.0;2;Sion;Rua República Argentina;Sion;0
1914770.0;107.0;3;3.0;2;Savassi;Rua Antônio de Albuquerque;Savassi;0
4500000.0;274.0;4;5.0;5;Belvedere;Rua Engenheiro Walter Kurrle;Belvedere;0
490000.0;79.0;3;2.0;1;Paquetá;Rua Antenor Prata;Paquetá;0
545660.0;64.0;2;2.0;2;Alto Caiçaras;Rua Hélio Lazzarotti;Alto Caiçaras;0
280000.0;50.0;3;1.0;1;Nova Cachoeirinha;Rua Henrique Diniz;Outros;0
420000.0;65.0;2;2.0;1;Buritis;Rua Tereza Mota Valadares;Buritis;0
750000.0;53.0;2;2.0;2;Coração de Jesus;Rua Professor Otto Cirne;Coração de Jesus;0
630000.0;85.0;3;2.0;2;Santa Mônica;Rua do Carmelo;Santa Mônica;0
660000.0;110.0;4;2.0;2;Cidade Nova;Rua João Arantes;Cidade Nova;0
630000.0;100.0;2;2.0;2;Araguaia;Rua Santa Alexandrina;Araguaia;0
520000.0;102.0;3;2.0;1;Colégio Batista;Rua Guanhães;Colégio Batista;0
710000.0;58.0;2;2.0;2;Serra;Rua Chefe Pereira;Serra;0
1200000.0;95.0;3;2.0;2;Santo Antônio;Rua Leopoldina;Santo Antônio;0
565000.0;80.0;2;2.0;2;Palmeiras;Rua Doutor Djalma Carneiro;Palmeiras;0
930000.0;100.0;2;3.0;3;Pampulha;Rua dos Aeroviários;Pampulha;0
440000.0;70.0;3;3.0;1;Ouro Preto;Rua Flor-de-esparódia;Ouro Preto;0
635000.0;64.0;2;2.0;1;Buritis;Rua Eli Seabra Filho;Buritis;0
884337.0;72.0;3;2.0;2;Buritis;Rua Professora Bartira Mourão;Buritis;0
530000.0;80.0;3;2.0;1;Sagrada Família;Rua Conselheiro Lafaiete;Sagrada Família;0
1990000.0;92.0;3;3.0;2;Lourdes;Rua Espírito Santo;Lourdes;0
1080000.0;88.0;3;2.0;2;Buritis;Avenida José de Oliveira Vaz;Buritis;0
590000.0;65.0;2;1.0;1;Cidade Nova;Rua Elyseu Dias Coelho;Cidade Nova;0
480000.0;82.0;3;2.0;2;Heliópolis;Rua Nair Pentagna Guimarães;Heliópolis;0
680000.0;100.0;4;2.0;3;Castelo;Rua Romualdo Lopes Cançado;Castelo;0
560000.0;165.0;4;2.0;2;Cruzeiro;Rua Muzambinho;Cruzeiro;0
450000.0;55.0;2;1.0;1;Palmeiras;Rua Senhora do Porto;Palmeiras;0
749000.0;64.0;2;2.0;2;Santo Antônio;Rua Carlos Gomes;Santo Antônio;0
1250000.0;112.0;4;3.0;3;Buritis;Rua Engenheiro Alberto Pontes;Buritis;0
550000.0;61.0;2;1.0;1;Silveira;Avenida Cristiano Machado;Silveira;0
541000.0;65.0;3;2.0;2;Palmeiras;Rua Senhora do Porto;Palmeiras;0
500000.0;103.0;4;3.0;1;Palmares;Rua Jorge Angel Livraga;Palmares;0
1150000.0;200.0;4;1.0;3;Gutierrez;Rua Porto Carrero;Gutierrez;0
880000.0;89.0;3;2.0;2;Padre Eustáquio;Rua Dona Noemi;Padre Eustáquio;0
1261498.0;73.0;3;3.0;2;Santa Efigênia;Rua Padre Marinho;Santa Efigênia;0
920000.0;85.0;3;2.0;2;Buritis;Avenida Aggeo Pio Sobrinho;Buritis;0
310000.0;80.0;2;1.0;1;Copacabana;Rua Olavo Bilac;Copacabana;0
400000.0;67.0;3;2.0;1;Santa Amélia;Praça Manoel Antônio de Carvalho;Santa Amélia;0
533950.0;50.0;2;2.0;2;Padre Eustáquio;Rua Curupaiti;Padre Eustáquio;0
1199000.0;123.0;4;2.0;3;Buritis;Rua Vitório Magnavacca;Buritis;0
341990.0;47.0;2;1.0;1;Havaí;Rua Zilda Gama;Havaí;0
330000.0;51.0;2;1.0;2;São João Batista;Rua Antônio Orlindo de Castro;São João Batista;0
550000.0;53.0;2;2.0;2;Buritis;Rua Sílvio Menicucci;Buritis;0
1980000.0;170.0;4;5.0;3;Vila Paris;Rua Padre Francisco Arantes;Vila Paris;0
1249000.0;84.0;3;2.0;2;Cruzeiro;Rua Pium-I;Cruzeiro;0
320000.0;113.0;3;2.0;0;Centro;Rua dos Guaranis;Centro;0
880000.0;100.0;3;3.0;2;São Pedro;Rua Viçosa;São Pedro;0
680000.0;100.0;3;2.0;2;Estoril;Rua Eugênio Vidigal Amaro;Estoril;0
780000.0;96.0;3;1.0;2;Ouro Preto;Rua Nízio Torres;Ouro Preto;0
430000.0;60.0;2;2.0;1;Jardim Atlântico;Rua Carlos Sá;Jardim Atlântico;0
605078.0;59.0;3;2.0;2;Estoril;Rua Paulo Piedade Campos;Estoril;0
463792.0;39.0;1;1.0;1;Estoril;Rua Paulo Piedade Campos;Estoril;0
957990.0;73.0;3;2.0;2;Coração de Jesus;Rua Professor Otto Cirne;Coração de Jesus;0
620000.0;90.0;3;2.0;2;Copacabana;Rua Viena;Copacabana;0
1794695.0;152.0;4;5.0;3;Castelo;Rua Castelo de Abrantes;Castelo;0
890000.0;134.0;3;2.0;3;Itapoã;Rua José Oscar Barreira;Itapoã;0
320000.0;51.0;2;1.0;1;Castelo;Rua Conceição Aparecida Augsten;Castelo;0
1330000.0;116.0;3;4.0;2;Castelo;Rua Castelo de Edimburgo;Castelo;0
500000.0;71.0;2;1.0;1;Sagrada Família;Rua Alegrete;Sagrada Família;0
450000.0;72.0;3;2.0;2;Salgado Filho;Rua Águas Formosas;Salgado Filho;0
700000.0;195.0;3;3.0;0;Centro;Rua Rio de Janeiro;Centro;0
1269470.0;71.0;3;3.0;2;Sion;Rua Assunção;Sion;0
495000.0;68.0;2;2.0;1;Nova Vista;Rua José Silva Passos;Outros;0
520000.0;56.0;2;2.0;1;Buritis;Rua Ignácio Alves Martins;Buritis;0
350000.0;83.0;3;1.0;0;Centro;Praça Rui Barbosa;Centro;0
610000.0;78.0;3;2.0;2;Dona Clara;Rua Desembargador Fernando Bhering;Dona Clara;0
1290000.0;140.0;4;4.0;3;Buritis;Rua Professora Bartira Mourão;Buritis;0
1100000.0;188.0;3;3.0;3;Castelo;Rua Castelo Setúbal;Castelo;0
430000.0;63.0;2;2.0;1;Buritis;Rua Ulisses Marcondes Escobar;Buritis;0
610000.0;85.0;3;2.0;1;Grajaú;Rua Paula Cândido;Grajaú;0
320000.0;85.0;2;1.0;1;Renascença;Rua Uraricoera;Renascença;0
840000.0;160.0;2;2.0;3;Santo Antônio;Rua Professor Aníbal Mattos;Santo Antônio;0
1962000.0;142.0;4;1.0;4;Ouro Preto;Rua José Moura Peçanha;Ouro Preto;0
390000.0;75.0;3;1.0;1;Estoril;Rua Paulo Piedade Campos;Estoril;0
580000.0;106.0;2;2.0;1;Santa Mônica;Rua Janete Clair;Santa Mônica;0
1150000.0;78.0;3;3.0;1;Barro Preto;Rua Tenente Brito Melo;Barro Preto;0
1100000.0;180.0;3;3.0;3;Fernão Dias;Rua Professor Nardelli Bemfica;Fernão Dias;0
1088000.0;80.0;3;2.0;2;Santo Antônio;Rua Paulo Afonso;Santo Antônio;0
450000.0;49.0;2;1.0;2;Castelo;Rua Elson Nunes de Souza;Castelo;0
491330.0;60.0;2;2.0;1;Esplanada;Rua Boninas;Esplanada;0
195000.0;49.0;2;1.0;1;Europa;Rua Basiléia;Outros;0
345000.0;80.0;4;1.0;2;Cinquentenário;Rua Crisântemo;Outros;0
350000.0;95.0;2;1.0;1;Letícia;Rua Onofre Furtado da Silva;Letícia;0
2100000.0;192.0;3;2.0;3;Luxemburgo;Rua Engenheiro Albert Scharle;Luxemburgo;0
370000.0;71.0;3;1.0;1;Manacás;Rua Maria de Souza Alves;Manacás;0
463000.0;67.0;3;2.0;2;Rio Branco;Rua Newton da Costa Silveira;Rio Branco;0
561100.0;54.0;2;2.0;1;Ventosa;Rua Paulo Piedade Campos;Outros;0
620000.0;93.0;3;2.0;2;Buritis;Rua Sílvio de Oliveira Martins;Buritis;0
647000.0;71.0;2;1.0;2;Santa Branca;Rua Ramalho Ortigão;Santa Branca;0
534500.0;70.0;3;2.0;2;Manacás;Rua Raimunda Simões da Silva;Manacás;0
521400.0;65.0;3;1.0;1;Palmeiras;Rua Senhora do Porto;Palmeiras;0
580000.0;70.0;3;1.0;2;Santa Mônica;Rua Basílio da Gama;Santa Mônica;0
980000.0;180.0;4;3.0;2;Serra;Rua Pouso Alto;Serra;0
400000.0;70.0;3;1.0;1;Buritis;Rua Tereza Mota Valadares;Buritis;0
1050000.0;120.0;4;4.0;3;Alto Barroca;Rua Armindo Chaves;Alto Barroca;0
770000.0;82.0;3;2.0;2;Colégio Batista;Rua Álvares de Azevedo;Colégio Batista;0
650000.0;85.0;3;2.0;1;Castelo;Rua Castelo de Edimburgo;Castelo;0
1570000.0;125.0;4;2.0;2;Santo Antônio;Rua Cristina;Santo Antônio;0
489000.0;67.0;3;2.0;2;Palmeiras;Rua Senhora do Porto;Palmeiras;0
850000.0;85.0;3;2.0;2;Silveira;Rua Ilacir Pereira Lima;Silveira;0
330000.0;69.0;3;2.0;1;Buritis;Rua Heitor Menin;Buritis;0
1600000.0;145.0;4;2.0;2;Cruzeiro;Rua Ouro Fino;Cruzeiro;0
450000.0;75.0;4;2.0;2;Buritis;Rua Ernani Agricola;Buritis;0
408331.0;52.0;2;1.0;1;Ventosa;Rua Paulo Piedade Campos;Outros;0
1100000.0;89.0;3;2.0;2;Palmares;Rua Joviano Naves;Palmares;0
407000.0;93.0;3;1.0;1;Céu Azul;Rua Antônio José dos Santos;Céu Azul;0
485000.0;80.0;3;2.0;1;Ouro Preto;Rua Jordânia;Ouro Preto;0
870000.0;84.0;3;3.0;2;Buritis;Rua Eli Seabra Filho;Buritis;0
549900.0;88.0;3;3.0;2;Carlos Prates;Rua Itambacuri;Carlos Prates;0
1500000.0;143.0;4;3.0;4;Buritis;Rua Tito Guimarães;Buritis;0
640000.0;67.0;2;2.0;2;Castelo;Rua Castelo de Belmonte;Castelo;0
592450.0;71.0;2;2.0;2;Indaiá;Rua Boaventura;Indaiá;0
570000.0;75.0;3;2.0;2;Copacabana;Rua Viena;Copacabana;0
590000.0;55.0;2;2.0;2;Buritis;Rua Sílvio Menicucci;Buritis;0
360000.0;95.0;3;2.0;1;Rio Branco;Rua Artur Flávio;Rio Branco;0
753990.0;60.0;2;2.0;1;Coração de Jesus;Rua Professor Otto Cirne;Coração de Jesus;0
430000.0;87.0;2;2.0;1;Penha;Rua Sônia;Outros;0
549000.0;97.0;3;2.0;1;Castelo;Avenida Altamiro Avelino Soares;Castelo;0
1200000.0;176.0;4;5.0;3;Liberdade;Rua Antônio Paulino de Castro;Liberdade;0
650000.0;99.0;3;2.0;2;Planalto;Rua Josué Azevedo;Planalto;0
650000.0;59.0;2;2.0;2;Nova Suíssa;Rua Helianto;Nova Suíssa;0
880000.0;64.0;2;1.0;1;Centro;Rua dos Guajajaras;Centro;0
1090000.0;165.0;4;2.0;3;Itapoã;Rua Professor Ricardo Pinto;Itapoã;0
702200.0;80.0;3;2.0;2;Renascença;Rua Tefé;Renascença;0
600000.0;67.0;2;1.0;2;Castelo;Rua Castelo de Abrantes;Castelo;0
578300.0;73.0;3;1.0;2;João Pinheiro;Rua Mariano Procópio;João Pinheiro;0
944800.0;85.0;3;4.0;2;Padre Eustáquio;Rua Progresso;Padre Eustáquio;0
1000000.0;157.0;3;2.0;3;Liberdade;Rua Vital Brasil;Liberdade;0
385000.0;62.0;2;1.0;1;São Gabriel;Rua Pedra Lavrada;São Gabriel;0
740000.0;80.0;3;2.0;2;Buritis;Avenida Deputado Cristóvam Chiaradia;Buritis;0
1000000.0;160.0;4;3.0;1;Santa Lúcia;Rua Sagitário;Santa Lúcia;0
399000.0;53.0;2;1.0;1;São João Batista;Rua Augusto Franco;São João Batista;0
459000.0;60.0;2;2.0;1;Serrano;Rua Jornalista Geraldo Resende;Serrano;0
1113970.0;101.0;3;3.0;2;Sion;Rua Haiti;Sion;0
240000.0;45.0;2;1.0;1;Estrela do Oriente;Rua Waldemar Correia de Almeida;Outros;0
1010000.0;135.0;4;4.0;4;Ouro Preto;Rua Desembargador Paulo Mota;Ouro Preto;0
429000.0;53.0;2;2.0;1;Santa Branca;Rua Montese;Santa Branca;0
890000.0;274.0;4;3.0;5;Vila Cloris;Rua das Fragatas;Vila Cloris;0
650000.0;140.0;3;2.0;1;Cachoeirinha;Rua Cônego Santana;Cachoeirinha;0
700000.0;64.0;2;2.0;2;Prado;Rua Cura D'Ars;Prado;0
499000.0;45.0;2;1.0;2;Santa Terezinha;Rua Conceição da Aparecida;Santa Terezinha;0
659000.0;80.0;3;2.0;2;Castelo;Rua Desembargador José Satyro;Castelo;0
1200000.0;140.0;4;3.0;2;Sion;Rua da Groenlândia;Sion;0
600000.0;55.0;2;2.0;2;Buritis;Rua Sílvio Menicucci;Buritis;0
580000.0;75.0;3;1.0;2;Santa Amélia;Rua Deputado Salim Nacur;Santa Amélia;0
521100.0;70.0;3;2.0;2;João Pinheiro;Rua Mariano Procópio;João Pinheiro;0
698671.0;70.0;3;1.0;2;Coração Eucarístico;Rua Dom João Antônio dos Santos;Coração Eucarístico;0
850000.0;106.0;4;3.0;2;Silveira;Rua Ilacir Pereira Lima;Silveira;0
480000.0;38.0;1;1.0;0;Buritis;Rua Geraldo Lúcio Vasconcelos;Buritis;0
1047000.0;93.0;2;3.0;2;Pampulha;Rua dos Aeroviários;Pampulha;0
1990446.0;107.0;2;3.0;2;Lourdes;Rua Espírito Santo;Lourdes;0
590000.0;80.0;3;2.0;1;Paquetá;Rua Maria Cândida de Jesus;Paquetá;0
355000.0;55.0;2;1.0;1;Sagrada Família;Rua João Gualberto Filho;Sagrada Família;0
375000.0;50.0;2;1.0;1;Palmeiras;Rua Antônio de Andrade Mendes;Palmeiras;0
611241.0;85.0;2;2.0;2;Indaiá;Rua Boaventura;Indaiá;0
606268.0;59.0;3;2.0;2;Estoril;Rua Paulo Piedade Campos;Estoril;0
450000.0;73.0;2;2.0;1;Planalto;Rua Senador Carneiro de Campos;Planalto;0
1580000.0;87.0;3;2.0;3;São Pedro;Rua Cristina;São Pedro;0
790000.0;100.0;3;3.0;2;Sion;Rua Morada Nova;Sion;0
1400000.0;135.0;4;4.0;3;Liberdade;Rua Duarte da Costa;Liberdade;0
507000.0;75.0;3;2.0;2;Salgado Filho;Rua Campo Formoso;Salgado Filho;0
1990000.0;204.0;3;4.0;4;Buritis;Avenida Deputado Cristóvam Chiaradia;Buritis;0
697500.0;65.0;2;1.0;2;Gutierrez;Rua Benjamim Jacob;Gutierrez;0
815990.0;66.0;3;2.0;2;Serra;Rua Pouso Alto;Serra;0
1100000.0;75.0;2;2.0;1;Barro Preto;Rua Juiz de Fora;Barro Preto;0
1345000.0;100.0;3;3.0;2;Lourdes;Rua Bernardo Guimarães;Lourdes;0
