Preço;Tamanho;Quartos;Banheiros;Vagas;Bairro;Endereço
R$ 3.170.000;Tamanho do imóvel190 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem4;Comiteco;Avenida dos Bandeirantes
R$ 780.000;Tamanho do imóvel54 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Cruzeiro;Rua Albita
R$ 450.000;Tamanho do imóvel94 m²;Quantidade de quartos3;Quantidade de banheiros1;N/D;Cidade Jardim;Rua Tavares Bastos
R$ 800.000;Tamanho do imóvel104 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem2;Serra;Rua Luz
R$ 1.060.000;Tamanho do imóvel140 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem3;Liberdade;Rua Frei Manoel da Cruz
R$ 856.796;Tamanho do imóvel66 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Lourdes;Avenida Bias Fortes
R$ 1.380.000;Tamanho do imóvel112 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem3;Buritis;Rua Rubens Caporali Ribeiro
R$ 1.480.000;Tamanho do imóvel118 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Boa Viagem;Avenida Afonso Pena
R$ 556.321;Tamanho do imóvel72 m²;Quantidade de quartos1;Quantidade de banheiros1-2;Quantidade de vagas de garagem1;Sagrada Família;Rua Silvestre Ferraz
R$ 510.900;Tamanho do imóvel54 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Dom Joaquim;Rua Lauro Gomes Vidal
N/D;Tamanho do imóvel120 m²;Quantidade de quartos4;Quantidade de banheiros1;Quantidade de vagas de garagem2;Ouro Preto;
R$ 550.000;Tamanho do imóvel43 m²;Quantidade de quartos1;Quantidade de banheiros1;Quantidade de vagas de garagem1;Santa Efigênia;Rua Grão Pará
R$ 450.000;Tamanho do imóvel61 m²;Quantidade de quartos1;Quantidade de banheiros1;Quantidade de vagas de garagem1;Havaí;Rua Lírio Montanhes
R$ 485.000;Tamanho do imóvel31 m²;Quantidade de quartos1;Quantidade de banheiros1;Quantidade de vagas de garagem1;Lourdes;Rua São Paulo
R$ 1.470.000;Tamanho do imóvel175 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Serra;Rua Professor Estevão Pinto
R$ 780.000;Tamanho do imóvel130 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Planalto;Rua Hélio Salomão
R$ 1.460.500;Tamanho do imóvel128 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Buritis;Rua José Hemetério Andrade
R$ 1.742.552;Tamanho do imóvel66 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Lourdes;Rua Curitiba
R$ 338.111;Tamanho do imóvel48 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Santa Amélia;Rua Virgílio de Melo Franco
R$ 657.500;Tamanho do imóvel81 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santa Mônica;Rua José do Patrocínio
R$ 1.400.000;Tamanho do imóvel155 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Serra;Rua Joanésia
N/D;Tamanho do imóvel146 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Savassi;Rua Bernardo Guimarães
R$ 1.280.000;Tamanho do imóvel88 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Sagrada Família;Rua Genoveva de Souza
R$ 1.150.000;Tamanho do imóvel140 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Liberdade;Rua Carmelino Pinto Coelho
R$ 760.000;Tamanho do imóvel114 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Ipiranga;
R$ 590.000;Tamanho do imóvel66 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Ipiranga;
R$ 670.000;Tamanho do imóvel74 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Castelo;Rua José Mendes de Carvalho
R$ 560.000;Tamanho do imóvel34 m²;Quantidade de quartos1;Quantidade de banheiros1;Quantidade de vagas de garagem1;Savassi;Rua Gonçalves Dias
R$ 960.000;Tamanho do imóvel70 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;São Pedro;Rua Maldonado
R$ 665.000;Tamanho do imóvel48 m²;Quantidade de quartos1;Quantidade de banheiros1;Quantidade de vagas de garagem1;Funcionários;Rua Grão Pará
R$ 610.000;Tamanho do imóvel47 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Paquetá;Rua Lúcia Helena
R$ 550.000;Tamanho do imóvel60 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem2;Padre Eustáquio;Rua Aquidaban
R$ 2.300.000;Tamanho do imóvel100 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Carmo;Rua Outono
N/D;Tamanho do imóvel180 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem3;Vila Paris;Rua Visconde do Rio das Velhas
R$ 730.000;Tamanho do imóvel101 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Buritis;Avenida Senador José Augusto
R$ 240.000;Tamanho do imóvel58 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Guarani;Rua Sambaíba
R$ 1.080.000;Tamanho do imóvel148 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Planalto;Rua Padre Willian Silva
R$ 1.100.000;Tamanho do imóvel152 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Santa Amélia;Rua Edith Araújo
R$ 575.000;Tamanho do imóvel76 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Renascença;Rua Tapira
R$ 528.990;Tamanho do imóvel61 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Pampulha;Rua General Aranha
R$ 500.000;Tamanho do imóvel77 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem1;Graça;Rua Juacema
R$ 245.000;Tamanho do imóvel70 m²;Quantidade de quartos3;Quantidade de banheiros1;N/D;Prado;Rua Perimetral
R$ 4.399.000;Tamanho do imóvel228 m²;Quantidade de quartos4;Quantidade de banheiros5;Quantidade de vagas de garagem5;Santa Lúcia;Rua Saturno
N/D;Tamanho do imóvel152 m²;Quantidade de quartos2;Quantidade de banheiros1-2;Quantidade de vagas de garagem2;Sion;Rua Haiti
R$ 3.100.000;Tamanho do imóvel186 m²;Quantidade de quartos4;Quantidade de banheiros6;Quantidade de vagas de garagem4;Santa Lúcia;Avenida Halley
R$ 1.050.000;Tamanho do imóvel125 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem3;Barreiro;Rua Santa Maria Goretti
R$ 1.200.000;Tamanho do imóvel124 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Buritis;Rua Lauro Ferreira
R$ 1.510.000;Tamanho do imóvel88 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santa Efigênia;Rua dos Otoni
R$ 750.000;Tamanho do imóvel110 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santa Mônica;Rua Olavo Bilac
R$ 550.000;Tamanho do imóvel110 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santa Mônica;Rua Geralda Cirino Flor de Maio
R$ 430.000;Tamanho do imóvel48 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Palmeiras;Rua Senhora do Porto
R$ 699.000;Tamanho do imóvel110 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Castelo;Rua Castelo de Óbidos
R$ 597.000;Tamanho do imóvel85 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Sagrada Família;Rua Conselheiro Lafaiete
R$ 1.150.000;Tamanho do imóvel230 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santo Agostinho;Rua Araguari
R$ 839.000;Tamanho do imóvel115 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Castelo;Rua Castelo de Windsor
N/D;Tamanho do imóvel133 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Itapoã;Rua João Edmundo Caldeira Brant
R$ 350.000;Tamanho do imóvel50 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Manacás;Rua Maria de Souza Alves
R$ 1.500.000;Tamanho do imóvel142 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem3;Buritis;Rua Engenheiro Alberto Pontes
R$ 560.000;Tamanho do imóvel88 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Castelo;Rua Castelo Setúbal
R$ 545.000;Tamanho do imóvel70 m²;Quantidade de quartos2;Quantidade de banheiros2-3;Quantidade de vagas de garagem2;Serra;Rua Desembargador Mário Mattos
R$ 469.000;Tamanho do imóvel68 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem1;Santa Branca;Rua Guerra Junqueiro
R$ 1.536.940;Tamanho do imóvel95 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Sion;Rua Patagônia
R$ 550.000;Tamanho do imóvel70 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Sagrada Família;Rua Artur Alvim
R$ 395.000;Tamanho do imóvel51 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Estoril;Rua Paulo Piedade Campos
R$ 480.000;Tamanho do imóvel100 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Paquetá;Rua Isaura Silva
R$ 850.000;Tamanho do imóvel177 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Fernão Dias;Rua Jornalista Lena Santos
R$ 695.000;Tamanho do imóvel91 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Santa Efigênia;Rua Tenente Garro
R$ 810.000;Tamanho do imóvel155 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Coração de Jesus;Rua Perdigão Malheiros
R$ 449.900;Tamanho do imóvel53 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Santa Branca;Rua Montese
R$ 890.000;Tamanho do imóvel55 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Lourdes;Rua dos Aimorés
R$ 532.000;Tamanho do imóvel85 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Barreiro;Rua Carmelita Índia do Brasil
R$ 3.042.253;Tamanho do imóvel184 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem3;Carmo;Rua Rio Verde
R$ 620.000;Tamanho do imóvel116 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem2;São Geraldo;Rua Silva Alvarenga
R$ 700.000;Tamanho do imóvel170 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;União;Rua Pitt
N/D;Tamanho do imóvel87 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Vila Paris;Avenida Artur Bernardes
R$ 1.050.000;Tamanho do imóvel44 m²;Quantidade de quartos1;Quantidade de banheiros1;Quantidade de vagas de garagem1;Savassi;Rua Tomé de Souza
R$ 1.720.000;Tamanho do imóvel252 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Silveira;Rua Vicente Paulo Almeida
N/D;Tamanho do imóvel60 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Santa Mônica;Rua Tobias Barreto
R$ 2.790.000;Tamanho do imóvel134 m²;Quantidade de quartos4;Quantidade de banheiros5;Quantidade de vagas de garagem3;Santo Antônio;Rua São Domingos do Prata
N/D;Tamanho do imóvel93 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Lourdes;Avenida Bias Fortes
R$ 817.990;Tamanho do imóvel66 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Serra;Rua Pouso Alto
R$ 980.000;Tamanho do imóvel85 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Funcionários;Rua dos Timbiras
R$ 1.937.162;Tamanho do imóvel142 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Carmo;Rua Rio Verde
R$ 700.000;Tamanho do imóvel136 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Alto Caiçaras;
R$ 575.000;Tamanho do imóvel150 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem4;Rio Branco;
R$ 585.000;Tamanho do imóvel137 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Sagrada Família;
R$ 1.150.000;Tamanho do imóvel140 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Liberdade;Rua Frei Manoel da Cruz
R$ 1.901.665;Tamanho do imóvel95 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Funcionários;
R$ 918.252;Tamanho do imóvel94 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem2;Itapoã;Rua São Sebastião do Paraíso
R$ 690.000;Tamanho do imóvel66 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Buritis;Rua Eli Seabra Filho
R$ 990.000;Tamanho do imóvel160 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santo Agostinho;Rua Ouro Preto
N/D;Tamanho do imóvel226 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Savassi;Rua Paraíba
R$ 1.035.176;Tamanho do imóvel103 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Cidade Nova;Rua Doutor Plínio de Morais
R$ 838.695;Tamanho do imóvel166 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Sagrada Família;Rua Genoveva de Souza
N/D;Tamanho do imóvel114 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Serra;
R$ 1.392.000;Tamanho do imóvel16 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Lourdes;Rua Santa Catarina
R$ 640.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Santa Lúcia;Rua Newton
R$ 620.000;Tamanho do imóvel110 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Santo Antônio;Rua Conselheiro Quintiliano Silva
R$ 710.000;Tamanho do imóvel22 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem3;Palmares;Rua Professor Antônio Márcio
N/D;Tamanho do imóvel86 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;São Lucas;Rua Marquesa de Alorna
R$ 1.011.990;Tamanho do imóvel73 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Coração de Jesus;Rua Professor Otto Cirne
R$ 780.000;Tamanho do imóvel140 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Sion;
R$ 340.000;Tamanho do imóvel47 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Palmares;Rua Professor Antônio Márcio
R$ 379.000;Tamanho do imóvel49 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Palmeiras;Rua Antônio de Andrade Mendes
R$ 750.000;Tamanho do imóvel115 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Buritis;Avenida Professor Mário Werneck
R$ 575.000;Tamanho do imóvel56 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Buritis;Rua Ignácio Alves Martins
R$ 350.000;Tamanho do imóvel75 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Jardim Leblon;Rua São Gonçalo do Pará
R$ 1.564.100;Tamanho do imóvel91 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Sion;Rua Rubim
R$ 2.588.733;Tamanho do imóvel180 m²;Quantidade de quartos3;Quantidade de banheiros4;Quantidade de vagas de garagem3;Carmo;
N/D;Tamanho do imóvel136 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem2;Araguaia;Rua Caio Viana Martins
R$ 812.990;Tamanho do imóvel66 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Serra;Rua Pouso Alto
R$ 1.350.000;Tamanho do imóvel89 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Lourdes;Rua dos Aimorés
R$ 1.402.299;Tamanho do imóvel85 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Lourdes;Rua Curitiba
R$ 950.000;Tamanho do imóvel500 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Padre Eustáquio;Rua Progresso
R$ 1.300.000;Tamanho do imóvel170 m²;Quantidade de quartos4;Quantidade de banheiros5;Quantidade de vagas de garagem3;Santa Rosa;Rua Feliciano Negrão
R$ 1.240.000;Tamanho do imóvel177 m²;Quantidade de quartos3;Quantidade de banheiros4;Quantidade de vagas de garagem3;Nova Granada;Rua Garret
R$ 970.000;Tamanho do imóvel79 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Gutierrez;Rua Benjamim Jacob
R$ 980.000;Tamanho do imóvel107 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Ouro Preto;Rua Desembargador Paulo Mota
R$ 1.250.000;Tamanho do imóvel74 m²;Quantidade de quartos1;Quantidade de banheiros2;Quantidade de vagas de garagem2;Savassi;Rua Tomé de Souza
R$ 402.500;Tamanho do imóvel43 m²;Quantidade de quartos1;Quantidade de banheiros1;N/D;São Cristóvão;Rua Manoel Macedo
R$ 750.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Dona Clara;Rua Ministro Ivan Lins
R$ 790.000;Tamanho do imóvel202 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Sagrada Família;Rua São Roque
R$ 545.083;Tamanho do imóvel57-59 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1-2;Indaiá;Rua Boaventura
R$ 725.000;Tamanho do imóvel55 m²;Quantidade de quartos2;Quantidade de banheiros2-3;Quantidade de vagas de garagem2;Carmo;Rua Rio Verde
R$ 310.000;Tamanho do imóvel66 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Ipiranga;Rua Conde de Monte Cristo
R$ 1.099.000;Tamanho do imóvel140 m²;Quantidade de quartos4;Quantidade de banheiros1;Quantidade de vagas de garagem2;Santa Inês;Rua Vicente Risola
R$ 1.260.000;Tamanho do imóvel211 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Itapoã;Rua Gumercindo Couto e Silva
R$ 490.000;Tamanho do imóvel62 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Barreiro;Rua Boaventura Costa
R$ 1.050.000;Tamanho do imóvel115 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Nova Suíssa;
R$ 1.020.510;Tamanho do imóvel70 m²;Quantidade de quartos2;Quantidade de banheiros2;N/D;Estoril;Avenida Raja Gabaglia
R$ 470.400;Tamanho do imóvel63 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Nova Floresta;Rua Quixadá
R$ 560.000;Tamanho do imóvel69 m²;Quantidade de quartos2;Quantidade de banheiros1-2;Quantidade de vagas de garagem1;Araguaia;Rua Caio Viana Martins
R$ 420.000;Tamanho do imóvel84 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Carlos Prates;Rua Padre Eustáquio
R$ 379.000;Tamanho do imóvel68 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Candelária;Rua Corretor Juventino de Jesus
R$ 460.000;Tamanho do imóvel90 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Santa Mônica;Rua Tapirapes
R$ 1.800.000;Tamanho do imóvel12 m²;Quantidade de quartos4;Quantidade de banheiros1;Quantidade de vagas de garagem3;Gutierrez;Rua Cônego Rocha Franco
R$ 300.000;Tamanho do imóvel61 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Novo Glória;Rua Rubens Ferreira da Silva
R$ 415.000;Tamanho do imóvel48 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1-2;Santa Mônica;Rua Tapirapes
R$ 310.000;Tamanho do imóvel55 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem1;Jardim Leblon;Rua Humberto de Campos
R$ 680.000;Tamanho do imóvel50 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Sagrada Família;Rua São Mateus
N/D;Tamanho do imóvel140 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santo Antônio;Rua Carangola
R$ 1.150.000;Tamanho do imóvel130 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Buritis;Rua Marco Aurélio de Miranda
R$ 1.420.000;Tamanho do imóvel126 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem3;Buritis;Avenida José de Oliveira Vaz
R$ 3.750.000;Tamanho do imóvel179 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem4;Sion;Rua Cristina
R$ 1.500.000;Tamanho do imóvel40 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Lourdes;Rua Antônio Aleixo
R$ 1.070.000;Tamanho do imóvel98 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Buritis;Rua Tito Guimarães
R$ 620.000;Tamanho do imóvel85 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Buritis;Rua Ulisses Marcondes Escobar
R$ 1.123.800;Tamanho do imóvel97 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Buritis;Rua José Teófilo Marques
R$ 1.080.000;Tamanho do imóvel150 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Planalto;Rua Padre Willian Silva
N/D;Tamanho do imóvel220 m²;Quantidade de quartos4;Quantidade de banheiros4;N/D;Ouro Preto;Avenida Fleming
R$ 950.000;Tamanho do imóvel30 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Funcionários;Rua Bernardo Guimarães
N/D;Tamanho do imóvel110 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Paquetá;Rua Maria Cândida de Jesus
R$ 5.500.000;Tamanho do imóvel280 m²;Quantidade de quartos4;Quantidade de banheiros6;Quantidade de vagas de garagem4;Belvedere;Rua Vicente Guimarães
R$ 390.000;Tamanho do imóvel118 m²;Quantidade de quartos3;Quantidade de banheiros2;N/D;Centro;Rua dos Guaranis
R$ 680.000;Tamanho do imóvel130 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Castelo;Rua Cecília Fonseca Coutinho
R$ 420.000;Tamanho do imóvel103 m²;Quantidade de quartos4;Quantidade de banheiros1;Quantidade de vagas de garagem1;Sagrada Família;Rua São Joaquim
R$ 503.276;Tamanho do imóvel71 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;João Pinheiro;Rua Mariano Procópio
R$ 450.000;Tamanho do imóvel82 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem1;Nova Floresta;Rua Horta Barbosa
R$ 1.140.000;Tamanho do imóvel70 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Savassi;Rua Rio Grande do Norte
R$ 364.000;Tamanho do imóvel56 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Sagrada Família;
R$ 555.000;Tamanho do imóvel96 m²;Quantidade de quartos2;Quantidade de banheiros1-2;Quantidade de vagas de garagem2;Santa Mônica;Rua do Carmelo
R$ 380.000;Tamanho do imóvel80 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Candelária;Rua Pedra da Lua
R$ 650.000;Tamanho do imóvel136 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Itapoã;Rua General Ephigênio Ruas Santos
R$ 924.640;Tamanho do imóvel111 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Liberdade;Rua Vital Brasil
R$ 1.500.000;Tamanho do imóvel139-142 m²;Quantidade de quartos4;Quantidade de banheiros2-3;Quantidade de vagas de garagem1-3;Santo Antônio;Rua São João Evangelista
R$ 830.000;Tamanho do imóvel64 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santo Antônio;Rua Teixeira de Freitas
R$ 1.317.202;Tamanho do imóvel66 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;São Pedro;Rua Padre Odorico
R$ 410.000;Tamanho do imóvel80 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Caiçaras;Rua Desembargador Torres
N/D;Tamanho do imóvel76 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Santa Amélia;Rua Augusto Moreira
R$ 1.890.000;Tamanho do imóvel140-141 m²;Quantidade de quartos3-4;Quantidade de banheiros4;Quantidade de vagas de garagem3;Buritis;Rua Stella Hanriot
A partir de R$ 1.600.000;Tamanho do imóvel102 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Savassi;Rua Ceará
R$ 700.000;Tamanho do imóvel116 m²;Quantidade de quartos4;Quantidade de banheiros1;Quantidade de vagas de garagem2;Buritis;Rua Doutor Célio Andrade
R$ 1.150.000;Tamanho do imóvel85 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santo Antônio;Rua Rafael Magalhães
R$ 570.000;Tamanho do imóvel72 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Copacabana;Rua Camões
R$ 1.363.500;Tamanho do imóvel187 m²;Quantidade de quartos4;Quantidade de banheiros1;Quantidade de vagas de garagem3;Jaraguá;Rua Major Americano de Souza
N/D;Tamanho do imóvel192 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santo Antônio;Rua Abre Campo
